OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00290,CUST0268,2025-04-01,Canvas Print,47.85
ORDER00396,CUST0004,2025-04-01,Photo Book,28.76
ORDER00464,CUST0061,2025-04-02,Photo Book,25.75
ORDER00767,CUST0002,2025-04-02,Business Card,14.31
ORDER00891,CUST0143,2025-04-02,Photo Book,28.85
ORDER00367,CUST0288,2025-04-03,Photo Book,27.83
ORDER00836,CUST0223,2025-04-03,Poster,12.01
ORDER00687,CUST0073,2025-04-04,Photo Book,30
ORDER00092,CUST0115,2025-04-05,Greeting Card,5.66
ORDER00310,CUST0295,2025-04-06,Canvas Print,32.39
ORDER00333,CUST0217,2025-04-06,Flyer,8.09
ORDER00430,CUST0140,2025-04-06,Photo Book,27.37
ORDER00153,CUST0161,2025-04-08,Flyer,8.66
ORDER00192,CUST0288,2025-04-08,Greeting Card,5.99
ORDER00219,CUST0223,2025-04-08,Poster,16.9
ORDER00269,CUST0098,2025-04-08,Flyer,10.56
ORDER00503,CUST0186,2025-04-08,Greeting Card,5.45
ORDER00659,CUST0076,2025-04-08,Canvas Print,36.64
ORDER00838,CUST0178,2025-04-08,Canvas Print,33.87
ORDER00024,CUST0296,2025-04-09,Canvas Print,34.64
ORDER00280,CUST0153,2025-04-09,Photo Book,20.31
ORDER00298,CUST0193,2025-04-09,Flyer,8.28
ORDER00349,CUST0017,2025-04-09,Photo Book,25.26
ORDER00072,CUST0196,2025-04-10,Flyer,10.3
ORDER00769,CUST0041,2025-04-10,Poster,13.49
ORDER00105,CUST0023,2025-04-11,Greeting Card,5.5
ORDER00295,CUST0046,2025-04-11,Poster,12.26
ORDER00507,CUST0237,2025-04-11,Canvas Print,37.04
ORDER00594,CUST0084,2025-04-11,Flyer,11.61
ORDER00540,CUST0224,2025-04-12,Photo Book,24.81
ORDER00669,CUST0002,2025-04-12,Photo Book,22.04
ORDER00691,CUST0264,2025-04-12,Poster,15.25
ORDER00185,CUST0114,2025-04-13,Canvas Print,39.81
ORDER00616,CUST0072,2025-04-13,Business Card,9.73
ORDER00750,CUST0186,2025-04-13,Business Card,11.91
ORDER00800,CUST0107,2025-04-14,Business Card,11.76
ORDER00047,CUST0125,2025-04-15,Photo Book,24.7
ORDER00633,CUST0273,2025-04-15,Greeting Card,5.69
ORDER00514,CUST0059,2025-04-16,Business Card,13.49
ORDER00609,CUST0281,2025-04-16,Flyer,9.55
ORDER00297,CUST0130,2025-04-17,Greeting Card,5.27
ORDER00032,CUST0165,2025-04-18,Greeting Card,4.47
ORDER00160,CUST0049,2025-04-18,Business Card,11.42
ORDER00374,CUST0270,2025-04-18,Poster,17.64
ORDER00407,CUST0141,2025-04-18,Greeting Card,5
ORDER00610,CUST0280,2025-04-18,Greeting Card,5.15
ORDER00845,CUST0264,2025-04-18,Greeting Card,5.25
ORDER00149,CUST0152,2025-04-19,Photo Book,20.27
ORDER00121,CUST0296,2025-04-20,Photo Book,28.2
ORDER00189,CUST0264,2025-04-20,Poster,14.25
ORDER00217,CUST0165,2025-04-20,Canvas Print,48
ORDER00331,CUST0017,2025-04-20,Poster,12.91
ORDER00383,CUST0273,2025-04-21,Photo Book,29.43
ORDER00640,CUST0072,2025-04-21,Business Card,10.83
ORDER00658,CUST0041,2025-04-21,Canvas Print,32.73
ORDER00660,CUST0046,2025-04-21,Photo Book,29.31
ORDER00758,CUST0021,2025-04-21,Canvas Print,42.83
ORDER00979,CUST0152,2025-04-21,Greeting Card,5.73
ORDER00360,CUST0025,2025-04-22,Business Card,13.83
ORDER00607,CUST0162,2025-04-22,Flyer,10.49
ORDER00036,CUST0132,2025-04-23,Photo Book,22.72
ORDER00307,CUST0164,2025-04-24,Poster,16.34
ORDER00372,CUST0086,2025-04-24,Business Card,11.84
ORDER00544,CUST0113,2025-04-25,Business Card,14.38
ORDER00568,CUST0192,2025-04-25,Flyer,9.57
ORDER00728,CUST0035,2025-04-25,Photo Book,26.71
ORDER00737,CUST0020,2025-04-25,Photo Book,27.82
ORDER00506,CUST0040,2025-04-26,Greeting Card,5.69
ORDER00696,CUST0007,2025-04-26,Flyer,8.08
ORDER00138,CUST0244,2025-04-27,Poster,17.17
ORDER00509,CUST0262,2025-04-27,Photo Book,29.82
ORDER00195,CUST0087,2025-04-28,Flyer,10.43
ORDER00406,CUST0269,2025-04-28,Flyer,8.42
ORDER00490,CUST0124,2025-04-28,Business Card,12.5
ORDER00880,CUST0159,2025-04-28,Canvas Print,37.7
ORDER00936,CUST0136,2025-04-28,Greeting Card,5.57
ORDER00342,CUST0108,2025-04-29,Greeting Card,4.38
ORDER00588,CUST0285,2025-04-29,Flyer,11.23
ORDER00632,CUST0206,2025-04-30,Poster,17.42
