OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00064,CUST0157,2025-11-01,Photo Book,23.97
ORDER00207,CUST0051,2025-11-01,Photo Book,28.27
ORDER00264,CUST0235,2025-11-01,Canvas Print,44.91
ORDER00896,CUST0093,2025-11-02,Canvas Print,38.36
ORDER00326,CUST0201,2025-11-03,Greeting Card,5.33
ORDER00497,CUST0284,2025-11-03,Photo Book,25.31
ORDER00949,CUST0159,2025-11-03,Business Card,9.97
ORDER00969,CUST0125,2025-11-03,Greeting Card,4.83
ORDER00129,CUST0001,2025-11-04,Photo Book,22.16
ORDER00416,CUST0272,2025-11-04,Greeting Card,4.37
ORDER00614,CUST0208,2025-11-04,Flyer,11.51
ORDER00721,CUST0211,2025-11-04,Flyer,8.21
ORDER00843,CUST0008,2025-11-04,Photo Book,20.07
ORDER00335,CUST0104,2025-11-05,Photo Book,28.42
ORDER00742,CUST0105,2025-11-05,Greeting Card,4.2
ORDER00935,CUST0291,2025-11-05,Business Card,12.08
ORDER00965,CUST0009,2025-11-05,Greeting Card,5.59
ORDER00606,CUST0015,2025-11-06,Photo Book,22.76
ORDER00895,CUST0143,2025-11-06,Canvas Print,44.59
ORDER00688,CUST0223,2025-11-07,Poster,14.43
ORDER00829,CUST0251,2025-11-07,Photo Book,23.73
ORDER00876,CUST0269,2025-11-07,Greeting Card,5.64
ORDER00098,CUST0069,2025-11-08,Business Card,12.78
ORDER00270,CUST0215,2025-11-08,Canvas Print,36.77
ORDER00602,CUST0262,2025-11-08,Canvas Print,33.45
ORDER00485,CUST0009,2025-11-09,Canvas Print,35.31
ORDER00715,CUST0221,2025-11-09,Business Card,13.46
ORDER00519,CUST0181,2025-11-11,Greeting Card,4.12
ORDER00682,CUST0143,2025-11-11,Photo Book,28.18
ORDER00852,CUST0119,2025-11-11,Photo Book,29.4
ORDER00152,CUST0198,2025-11-12,Poster,15.07
ORDER00379,CUST0215,2025-11-12,Canvas Print,41.04
ORDER00555,CUST0037,2025-11-12,Business Card,11.8
ORDER00917,CUST0021,2025-11-12,Greeting Card,4.29
ORDER00051,CUST0153,2025-11-13,Photo Book,24.7
ORDER00676,CUST0103,2025-11-13,Poster,16.39
ORDER00886,CUST0082,2025-11-13,Flyer,8.86
ORDER00892,CUST0065,2025-11-13,Poster,14.3
ORDER00093,CUST0243,2025-11-14,Poster,12.24
ORDER00135,CUST0154,2025-11-14,Greeting Card,4.81
ORDER00904,CUST0085,2025-11-14,Photo Book,28
ORDER00498,CUST0081,2025-11-15,Photo Book,26.51
ORDER00330,CUST0296,2025-11-16,Greeting Card,4.59
ORDER00353,CUST0216,2025-11-17,Photo Book,22.9
ORDER00567,CUST0270,2025-11-18,Business Card,14.24
ORDER00637,CUST0166,2025-11-18,Business Card,13.87
ORDER00384,CUST0014,2025-11-19,Canvas Print,38.76
ORDER00672,CUST0233,2025-11-19,Canvas Print,46.12
ORDER00988,CUST0069,2025-11-19,Business Card,10.18
ORDER00007,CUST0172,2025-11-20,Business Card,12.76
ORDER00045,CUST0288,2025-11-20,Flyer,11.63
ORDER00026,CUST0267,2025-11-21,Canvas Print,47.17
ORDER00308,CUST0113,2025-11-21,Poster,13.68
ORDER00847,CUST0005,2025-11-21,Poster,12.3
ORDER00483,CUST0226,2025-11-22,Business Card,12.51
ORDER00748,CUST0295,2025-11-22,Greeting Card,4.86
ORDER00581,CUST0026,2025-11-24,Flyer,9.51
ORDER00915,CUST0271,2025-11-24,Greeting Card,5
ORDER00919,CUST0117,2025-11-24,Poster,14.52
ORDER00376,CUST0007,2025-11-25,Canvas Print,46.89
ORDER00873,CUST0169,2025-11-25,Poster,16.21
ORDER00978,CUST0050,2025-11-25,Poster,16.44
ORDER00317,CUST0246,2025-11-26,Greeting Card,4.2
ORDER00110,CUST0111,2025-11-27,Poster,15.59
ORDER00165,CUST0063,2025-11-27,Canvas Print,33.62
ORDER00697,CUST0084,2025-11-27,Greeting Card,4.54
ORDER00887,CUST0279,2025-11-27,Greeting Card,5.19
ORDER00907,CUST0221,2025-11-27,Poster,17.49
ORDER00150,CUST0025,2025-11-28,Greeting Card,4.79
ORDER00615,CUST0027,2025-11-28,Greeting Card,5.95
ORDER00802,CUST0204,2025-11-29,Greeting Card,4.21
ORDER00960,CUST0118,2025-11-30,Greeting Card,5.81
