OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00040,CUST0089,2025-07-01,Flyer,9.63
ORDER00371,CUST0282,2025-07-03,Greeting Card,5.17
ORDER00486,CUST0040,2025-07-03,Canvas Print,34.44
ORDER00221,CUST0263,2025-07-04,Poster,16.69
ORDER00375,CUST0117,2025-07-04,Poster,12.5
ORDER00462,CUST0020,2025-07-04,Greeting Card,4.26
ORDER00501,CUST0224,2025-07-04,Flyer,11.11
ORDER00803,CUST0165,2025-07-04,Poster,15.29
ORDER00958,CUST0047,2025-07-04,Poster,13.39
ORDER00539,CUST0295,2025-07-06,Greeting Card,5.73
ORDER00799,CUST0121,2025-07-06,Photo Book,20.11
ORDER00824,CUST0012,2025-07-06,Canvas Print,39.33
ORDER00861,CUST0001,2025-07-06,Flyer,9.31
ORDER00484,CUST0170,2025-07-07,Canvas Print,36.66
ORDER00492,CUST0251,2025-07-07,Poster,12.36
ORDER00768,CUST0293,2025-07-07,Greeting Card,5.26
ORDER00719,CUST0300,2025-07-08,Canvas Print,37.51
ORDER00777,CUST0028,2025-07-08,Greeting Card,4.86
ORDER00079,CUST0159,2025-07-09,Poster,14.34
ORDER00089,CUST0173,2025-07-09,Business Card,13.74
ORDER00242,CUST0226,2025-07-09,Canvas Print,39.47
ORDER00259,CUST0237,2025-07-09,Photo Book,28.94
ORDER00629,CUST0015,2025-07-09,Greeting Card,5.68
ORDER00667,CUST0202,2025-07-09,Business Card,13.07
ORDER00789,CUST0093,2025-07-09,Greeting Card,5.57
ORDER00027,CUST0229,2025-07-10,Flyer,9.78
ORDER00348,CUST0044,2025-07-10,Greeting Card,5.27
ORDER00522,CUST0155,2025-07-10,Flyer,11.72
ORDER00604,CUST0257,2025-07-10,Business Card,9.88
ORDER00710,CUST0122,2025-07-10,Business Card,14.27
ORDER00879,CUST0077,2025-07-10,Photo Book,20.3
ORDER00266,CUST0154,2025-07-11,Flyer,11.98
ORDER00286,CUST0134,2025-07-11,Flyer,9.33
ORDER00480,CUST0029,2025-07-11,Poster,16.05
ORDER00131,CUST0149,2025-07-12,Photo Book,28.17
ORDER00226,CUST0112,2025-07-12,Business Card,11.81
ORDER00780,CUST0229,2025-07-12,Greeting Card,4.49
ORDER00350,CUST0057,2025-07-13,Photo Book,24.63
ORDER00712,CUST0055,2025-07-13,Poster,12.95
ORDER00128,CUST0182,2025-07-14,Business Card,13.48
ORDER00495,CUST0037,2025-07-14,Poster,17.94
ORDER00875,CUST0176,2025-07-14,Photo Book,26.54
ORDER00019,CUST0236,2025-07-15,Photo Book,20.82
ORDER00502,CUST0115,2025-07-15,Canvas Print,35.28
ORDER00180,CUST0257,2025-07-16,Poster,17.55
ORDER00240,CUST0256,2025-07-16,Greeting Card,4.12
ORDER00680,CUST0174,2025-07-16,Canvas Print,41.75
ORDER00747,CUST0262,2025-07-16,Business Card,12.2
ORDER00771,CUST0014,2025-07-16,Canvas Print,34.99
ORDER00067,CUST0157,2025-07-17,Greeting Card,5.63
ORDER00760,CUST0282,2025-07-17,Business Card,11.12
ORDER00107,CUST0141,2025-07-18,Flyer,10.58
ORDER00419,CUST0266,2025-07-19,Flyer,10.88
ORDER00816,CUST0119,2025-07-19,Photo Book,26.9
ORDER00258,CUST0040,2025-07-20,Business Card,13.08
ORDER00058,CUST0134,2025-07-21,Business Card,13.6
ORDER00315,CUST0111,2025-07-21,Canvas Print,43.16
ORDER00386,CUST0152,2025-07-21,Flyer,11.75
ORDER00412,CUST0029,2025-07-21,Photo Book,26.34
ORDER00528,CUST0249,2025-07-21,Photo Book,27.61
ORDER00930,CUST0052,2025-07-21,Photo Book,27.13
ORDER00053,CUST0225,2025-07-22,Greeting Card,4.95
ORDER00572,CUST0164,2025-07-22,Greeting Card,4.46
ORDER00254,CUST0115,2025-07-24,Business Card,11.72
ORDER00729,CUST0093,2025-07-24,Flyer,9.74
ORDER00114,CUST0293,2025-07-25,Poster,12.93
ORDER00199,CUST0008,2025-07-25,Flyer,11.09
ORDER00511,CUST0147,2025-07-25,Flyer,11.63
ORDER00553,CUST0060,2025-07-25,Flyer,10.09
ORDER00773,CUST0084,2025-07-25,Photo Book,23.91
ORDER00427,CUST0153,2025-07-26,Photo Book,23.95
ORDER00074,CUST0010,2025-07-27,Flyer,10.7
ORDER00003,CUST0178,2025-07-28,Business Card,11.66
ORDER00034,CUST0078,2025-07-28,Poster,17.82
ORDER00077,CUST0118,2025-07-28,Business Card,14.06
ORDER00409,CUST0096,2025-07-28,Business Card,13.76
ORDER00456,CUST0054,2025-07-29,Greeting Card,4.08
ORDER00685,CUST0009,2025-07-29,Poster,12.75
ORDER00368,CUST0266,2025-07-30,Poster,16.29
ORDER00561,CUST0017,2025-07-30,Photo Book,28.29
ORDER00812,CUST0020,2025-07-30,Business Card,12.08
ORDER00910,CUST0012,2025-07-30,Photo Book,27.87
ORDER00048,CUST0023,2025-07-31,Flyer,9.8
ORDER00901,CUST0110,2025-07-31,Greeting Card,5.54
