OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00554,CUST0222,2025-05-01,Greeting Card,4.44
ORDER00826,CUST0181,2025-05-01,Greeting Card,5.11
ORDER00224,CUST0085,2025-05-02,Poster,13.95
ORDER00810,CUST0130,2025-05-02,Business Card,9.96
ORDER00831,CUST0126,2025-05-02,Flyer,9.8
ORDER00467,CUST0145,2025-05-03,Photo Book,23.68
ORDER00397,CUST0210,2025-05-04,Business Card,10.48
ORDER00590,CUST0075,2025-05-04,Poster,13.47
ORDER00694,CUST0111,2025-05-04,Poster,14.49
ORDER00155,CUST0285,2025-05-05,Canvas Print,32.72
ORDER00205,CUST0229,2025-05-05,Canvas Print,45.42
ORDER00237,CUST0020,2025-05-05,Flyer,8.15
ORDER00566,CUST0210,2025-05-05,Greeting Card,5.91
ORDER00893,CUST0076,2025-05-05,Greeting Card,4.99
ORDER00033,CUST0005,2025-05-06,Photo Book,27.87
ORDER00090,CUST0130,2025-05-06,Flyer,8.01
ORDER00345,CUST0012,2025-05-06,Business Card,11.78
ORDER00006,CUST0138,2025-05-07,Poster,15.44
ORDER00457,CUST0047,2025-05-07,Poster,14.39
ORDER00035,CUST0062,2025-05-08,Poster,13.58
ORDER00080,CUST0228,2025-05-08,Greeting Card,5.46
ORDER00174,CUST0158,2025-05-08,Business Card,10.7
ORDER00399,CUST0016,2025-05-08,Canvas Print,34.07
ORDER00550,CUST0074,2025-05-08,Flyer,9.99
ORDER00651,CUST0217,2025-05-08,Business Card,9.83
ORDER00069,CUST0097,2025-05-09,Greeting Card,5.64
ORDER00347,CUST0101,2025-05-09,Photo Book,25.55
ORDER00652,CUST0289,2025-05-09,Greeting Card,5.45
ORDER00022,CUST0035,2025-05-10,Photo Book,21.38
ORDER00328,CUST0073,2025-05-10,Photo Book,28.63
ORDER00458,CUST0215,2025-05-10,Flyer,11.05
ORDER00542,CUST0046,2025-05-10,Business Card,12.84
ORDER00702,CUST0297,2025-05-10,Poster,14.17
ORDER00788,CUST0080,2025-05-10,Canvas Print,47.71
ORDER00905,CUST0282,2025-05-10,Greeting Card,4.67
ORDER00293,CUST0190,2025-05-12,Canvas Print,33.44
ORDER00613,CUST0271,2025-05-12,Canvas Print,46.44
ORDER00975,CUST0154,2025-05-12,Poster,14.31
ORDER00304,CUST0267,2025-05-13,Poster,16.2
ORDER00833,CUST0285,2025-05-13,Photo Book,25.84
ORDER00835,CUST0039,2025-05-13,Greeting Card,4.5
ORDER00418,CUST0239,2025-05-14,Canvas Print,38.65
ORDER00533,CUST0039,2025-05-14,Business Card,14.06
ORDER00713,CUST0238,2025-05-15,Canvas Print,34.88
ORDER00743,CUST0250,2025-05-15,Business Card,12.28
ORDER00182,CUST0175,2025-05-16,Poster,14.37
ORDER00220,CUST0007,2025-05-16,Photo Book,22.07
ORDER00231,CUST0002,2025-05-16,Greeting Card,5.81
ORDER00946,CUST0108,2025-05-16,Poster,15.32
ORDER00247,CUST0158,2025-05-17,Photo Book,20.94
ORDER00112,CUST0171,2025-05-19,Flyer,8.56
ORDER00235,CUST0195,2025-05-19,Greeting Card,4.71
ORDER00704,CUST0014,2025-05-19,Flyer,10.53
ORDER00073,CUST0086,2025-05-20,Flyer,8.12
ORDER00635,CUST0228,2025-05-20,Greeting Card,5.53
ORDER00751,CUST0246,2025-05-20,Photo Book,21.18
ORDER00908,CUST0154,2025-05-20,Business Card,13.73
ORDER00223,CUST0151,2025-05-21,Flyer,9.2
ORDER00666,CUST0161,2025-05-21,Photo Book,23.62
ORDER00977,CUST0068,2025-05-21,Poster,14.58
ORDER00474,CUST0089,2025-05-22,Business Card,12.68
ORDER00759,CUST0225,2025-05-23,Poster,15.75
ORDER00818,CUST0198,2025-05-23,Poster,15.57
ORDER00060,CUST0179,2025-05-24,Greeting Card,4.57
ORDER00574,CUST0227,2025-05-24,Photo Book,27.81
ORDER00134,CUST0117,2025-05-25,Flyer,11.41
ORDER00782,CUST0164,2025-05-25,Greeting Card,4.17
ORDER00881,CUST0098,2025-05-25,Canvas Print,32.25
ORDER00083,CUST0015,2025-05-26,Greeting Card,4.52
ORDER00275,CUST0042,2025-05-26,Canvas Print,47.54
ORDER00296,CUST0064,2025-05-26,Flyer,9.37
ORDER00705,CUST0012,2025-05-30,Canvas Print,34.08
ORDER00918,CUST0107,2025-05-30,Greeting Card,5.57
ORDER00986,CUST0164,2025-05-30,Photo Book,27.32
ORDER00082,CUST0184,2025-05-31,Greeting Card,5.34
ORDER00665,CUST0148,2025-05-31,Poster,12.37
