OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00123,CUST0214,2025-06-01,Greeting Card,5.06
ORDER00864,CUST0142,2025-06-01,Photo Book,28.07
ORDER00885,CUST0019,2025-06-01,Poster,14.55
ORDER00010,CUST0130,2025-06-02,Photo Book,24.88
ORDER00078,CUST0294,2025-06-02,Business Card,10.39
ORDER00393,CUST0183,2025-06-02,Canvas Print,42.81
ORDER00525,CUST0133,2025-06-02,Greeting Card,4.09
ORDER00595,CUST0022,2025-06-02,Business Card,10.34
ORDER00118,CUST0287,2025-06-03,Poster,15.18
ORDER00889,CUST0089,2025-06-03,Business Card,11.39
ORDER00088,CUST0047,2025-06-04,Photo Book,27.21
ORDER00537,CUST0077,2025-06-04,Photo Book,24.59
ORDER00557,CUST0196,2025-06-04,Poster,13.06
ORDER00564,CUST0022,2025-06-04,Photo Book,26.98
ORDER00624,CUST0050,2025-06-04,Greeting Card,4.86
ORDER00733,CUST0024,2025-06-04,Greeting Card,5.01
ORDER00070,CUST0289,2025-06-05,Canvas Print,40.51
ORDER00130,CUST0055,2025-06-05,Business Card,11.84
ORDER00218,CUST0182,2025-06-05,Flyer,8.6
ORDER00475,CUST0068,2025-06-05,Photo Book,25.71
ORDER00857,CUST0136,2025-06-05,Canvas Print,35.43
ORDER00209,CUST0092,2025-06-07,Flyer,8.71
ORDER00332,CUST0129,2025-06-07,Flyer,9.06
ORDER00469,CUST0003,2025-06-07,Canvas Print,38.97
ORDER00643,CUST0209,2025-06-07,Photo Book,20.33
ORDER00698,CUST0208,2025-06-07,Canvas Print,40.28
ORDER00706,CUST0087,2025-06-07,Greeting Card,5.12
ORDER00967,CUST0010,2025-06-07,Greeting Card,4.69
ORDER00596,CUST0027,2025-06-08,Poster,17.94
ORDER00145,CUST0128,2025-06-09,Canvas Print,33.58
ORDER00481,CUST0137,2025-06-09,Greeting Card,5.09
ORDER00776,CUST0145,2025-06-09,Photo Book,29.35
ORDER00355,CUST0149,2025-06-10,Flyer,8.48
ORDER00491,CUST0038,2025-06-10,Business Card,11.87
ORDER00575,CUST0007,2025-06-10,Business Card,14.21
ORDER00591,CUST0288,2025-06-10,Business Card,11.53
ORDER00964,CUST0026,2025-06-10,Photo Book,25.22
ORDER00212,CUST0096,2025-06-11,Canvas Print,35.76
ORDER00551,CUST0233,2025-06-11,Greeting Card,4.81
ORDER00684,CUST0123,2025-06-11,Flyer,9.09
ORDER00726,CUST0202,2025-06-11,Canvas Print,33.9
ORDER00175,CUST0285,2025-06-12,Business Card,14.29
ORDER00186,CUST0222,2025-06-12,Flyer,8.52
ORDER00213,CUST0088,2025-06-12,Poster,16.98
ORDER00987,CUST0242,2025-06-12,Business Card,13.83
ORDER00318,CUST0069,2025-06-13,Flyer,11.48
ORDER00790,CUST0266,2025-06-13,Greeting Card,5.47
ORDER00939,CUST0158,2025-06-13,Photo Book,27.21
ORDER00125,CUST0257,2025-06-14,Canvas Print,33.35
ORDER00287,CUST0219,2025-06-14,Canvas Print,43.73
ORDER00543,CUST0155,2025-06-14,Photo Book,21.37
ORDER00670,CUST0225,2025-06-14,Greeting Card,4.02
ORDER00903,CUST0003,2025-06-14,Poster,13.24
ORDER00701,CUST0127,2025-06-15,Poster,14.89
ORDER00926,CUST0277,2025-06-15,Poster,14.82
ORDER00439,CUST0153,2025-06-16,Flyer,11.29
ORDER00668,CUST0242,2025-06-16,Canvas Print,35.21
ORDER00783,CUST0287,2025-06-16,Flyer,9.33
ORDER00942,CUST0077,2025-06-16,Business Card,13.47
ORDER00962,CUST0214,2025-06-16,Business Card,13.58
ORDER00312,CUST0227,2025-06-17,Flyer,10.2
ORDER00605,CUST0058,2025-06-17,Canvas Print,39.11
ORDER00108,CUST0104,2025-06-18,Business Card,12.7
ORDER00141,CUST0075,2025-06-18,Canvas Print,38.15
ORDER00146,CUST0251,2025-06-18,Business Card,13.87
ORDER00173,CUST0032,2025-06-18,Business Card,14.27
ORDER00911,CUST0133,2025-06-18,Poster,14.47
ORDER00179,CUST0018,2025-06-20,Photo Book,22.09
ORDER00194,CUST0162,2025-06-20,Greeting Card,4.18
ORDER00271,CUST0293,2025-06-20,Canvas Print,35.85
ORDER00337,CUST0025,2025-06-20,Flyer,8.88
ORDER00570,CUST0285,2025-06-20,Poster,16.64
ORDER00674,CUST0116,2025-06-20,Greeting Card,4.38
ORDER00851,CUST0193,2025-06-20,Business Card,12.2
ORDER00922,CUST0292,2025-06-20,Greeting Card,5.2
ORDER00188,CUST0132,2025-06-21,Greeting Card,4.74
ORDER00597,CUST0195,2025-06-22,Photo Book,29.55
ORDER00820,CUST0059,2025-06-22,Flyer,11.7
ORDER00028,CUST0270,2025-06-23,Business Card,13.39
ORDER00775,CUST0231,2025-06-23,Photo Book,24.12
ORDER00931,CUST0027,2025-06-23,Photo Book,20.11
ORDER00084,CUST0157,2025-06-24,Photo Book,26.75
ORDER00147,CUST0179,2025-06-24,Business Card,9.66
ORDER00455,CUST0261,2025-06-24,Business Card,13.81
ORDER00309,CUST0187,2025-06-25,Poster,16.12
ORDER00473,CUST0120,2025-06-25,Flyer,8.89
ORDER00898,CUST0291,2025-06-25,Greeting Card,4.51
ORDER00448,CUST0107,2025-06-26,Flyer,11.8
ORDER00600,CUST0021,2025-06-26,Flyer,9.93
ORDER00727,CUST0243,2025-06-26,Canvas Print,44.24
ORDER00865,CUST0053,2025-06-26,Greeting Card,5.72
ORDER00900,CUST0267,2025-06-26,Poster,13.75
ORDER00232,CUST0197,2025-06-27,Greeting Card,4.26
ORDER00707,CUST0012,2025-06-27,Canvas Print,44.49
