OrderID,CustomerID,OrderDate,ProductType,OrderValue
ORDER00009,CUST0168,2025-03-01,Canvas Print,35.52
ORDER00446,CUST0063,2025-03-01,Business Card,13.62
ORDER00592,CUST0130,2025-03-01,Business Card,13.89
ORDER00612,CUST0274,2025-03-01,Flyer,11.39
ORDER00689,CUST0041,2025-03-01,Flyer,8.88
ORDER00840,CUST0151,2025-03-01,Business Card,12.54
ORDER00225,CUST0147,2025-03-02,Greeting Card,5.59
ORDER00236,CUST0119,2025-03-03,Greeting Card,4.92
ORDER00428,CUST0193,2025-03-03,Business Card,14.07
ORDER00400,CUST0108,2025-03-04,Poster,16.06
ORDER00214,CUST0078,2025-03-05,Canvas Print,40.72
ORDER00451,CUST0241,2025-03-05,Photo Book,23.3
ORDER00639,CUST0117,2025-03-05,Canvas Print,35.27
ORDER00644,CUST0072,2025-03-05,Greeting Card,5.27
ORDER00819,CUST0245,2025-03-05,Flyer,8.69
ORDER00913,CUST0300,2025-03-05,Flyer,10.55
ORDER00366,CUST0047,2025-03-06,Canvas Print,35.02
ORDER00443,CUST0059,2025-03-06,Photo Book,26.88
ORDER00883,CUST0132,2025-03-06,Poster,17.47
ORDER00171,CUST0215,2025-03-07,Business Card,10.11
ORDER00249,CUST0059,2025-03-07,Greeting Card,4.98
ORDER00305,CUST0296,2025-03-07,Poster,12.63
ORDER00352,CUST0080,2025-03-07,Photo Book,23.03
ORDER00100,CUST0011,2025-03-08,Canvas Print,41.54
ORDER00253,CUST0209,2025-03-08,Flyer,10.25
ORDER00444,CUST0072,2025-03-08,Greeting Card,4.48
ORDER00208,CUST0097,2025-03-09,Photo Book,27.09
ORDER00215,CUST0288,2025-03-09,Business Card,10.39
ORDER00016,CUST0094,2025-03-10,Flyer,11.82
ORDER00042,CUST0295,2025-03-10,Greeting Card,4.01
ORDER00127,CUST0110,2025-03-10,Canvas Print,46.56
ORDER00276,CUST0041,2025-03-10,Flyer,8.88
ORDER00626,CUST0181,2025-03-11,Poster,15.38
ORDER00593,CUST0175,2025-03-12,Business Card,9.6
ORDER00745,CUST0228,2025-03-12,Business Card,12.99
ORDER00807,CUST0207,2025-03-12,Flyer,10.33
ORDER00850,CUST0290,2025-03-12,Canvas Print,46.98
ORDER00981,CUST0100,2025-03-12,Business Card,13.39
ORDER00163,CUST0148,2025-03-13,Canvas Print,44.67
ORDER00655,CUST0214,2025-03-13,Greeting Card,5.65
ORDER00971,CUST0072,2025-03-13,Business Card,11.02
ORDER00044,CUST0014,2025-03-14,Greeting Card,5.21
ORDER00111,CUST0104,2025-03-14,Canvas Print,40.03
ORDER00303,CUST0149,2025-03-14,Flyer,11.54
ORDER00101,CUST0254,2025-03-15,Poster,15.3
ORDER00618,CUST0145,2025-03-15,Greeting Card,5.5
ORDER00693,CUST0084,2025-03-15,Poster,14.28
ORDER00183,CUST0194,2025-03-16,Flyer,9.25
ORDER00957,CUST0173,2025-03-16,Photo Book,22.71
ORDER00809,CUST0251,2025-03-17,Business Card,12.09
ORDER00103,CUST0134,2025-03-18,Greeting Card,4.81
ORDER00998,CUST0143,2025-03-18,Business Card,13.2
ORDER00267,CUST0029,2025-03-19,Poster,12.36
ORDER00990,CUST0049,2025-03-19,Greeting Card,5.16
ORDER00608,CUST0163,2025-03-20,Flyer,11.97
ORDER00641,CUST0064,2025-03-20,Business Card,11.02
ORDER00387,CUST0108,2025-03-21,Flyer,10.7
ORDER00994,CUST0119,2025-03-21,Canvas Print,34.67
ORDER00148,CUST0182,2025-03-22,Business Card,11.38
ORDER00388,CUST0188,2025-03-22,Greeting Card,4.23
ORDER00677,CUST0194,2025-03-22,Flyer,10.56
ORDER00233,CUST0011,2025-03-23,Poster,15.56
ORDER00260,CUST0281,2025-03-23,Flyer,9.82
ORDER00426,CUST0293,2025-03-23,Greeting Card,4.07
ORDER00465,CUST0178,2025-03-23,Poster,12.46
ORDER00578,CUST0134,2025-03-23,Photo Book,26.03
ORDER00584,CUST0004,2025-03-23,Flyer,8.18
ORDER00681,CUST0122,2025-03-23,Flyer,11.58
ORDER00432,CUST0293,2025-03-24,Business Card,9.85
ORDER00622,CUST0027,2025-03-24,Poster,16.08
ORDER00703,CUST0188,2025-03-24,Flyer,11.8
ORDER00753,CUST0268,2025-03-24,Poster,16.29
ORDER00916,CUST0043,2025-03-24,Business Card,12.17
ORDER00599,CUST0092,2025-03-25,Photo Book,25.13
ORDER00725,CUST0131,2025-03-25,Canvas Print,34.52
ORDER00924,CUST0051,2025-03-25,Canvas Print,41.44
ORDER00244,CUST0280,2025-03-26,Greeting Card,5.94
ORDER00273,CUST0146,2025-03-26,Flyer,9.02
ORDER00325,CUST0244,2025-03-26,Poster,16.26
ORDER00431,CUST0187,2025-03-26,Poster,17.85
ORDER00493,CUST0176,2025-03-26,Canvas Print,42.75
ORDER00671,CUST0289,2025-03-26,Flyer,9.75
ORDER00241,CUST0222,2025-03-27,Business Card,12.87
ORDER00245,CUST0081,2025-03-27,Business Card,14.16
ORDER00646,CUST0274,2025-03-27,Canvas Print,36.72
ORDER00663,CUST0086,2025-03-28,Greeting Card,5.06
ORDER00017,CUST0095,2025-03-29,Poster,12.15
ORDER00401,CUST0227,2025-03-29,Canvas Print,47.1
ORDER00944,CUST0090,2025-03-29,Greeting Card,5.85
ORDER00255,CUST0209,2025-03-30,Flyer,10.42
ORDER00365,CUST0026,2025-03-30,Canvas Print,33.64
ORDER00549,CUST0163,2025-03-30,Business Card,12.66
ORDER00583,CUST0285,2025-03-30,Greeting Card,5.61
ORDER00825,CUST0276,2025-03-30,Greeting Card,4.18
ORDER00015,CUST0038,2025-03-31,Business Card,9.91
ORDER00190,CUST0055,2025-03-31,Greeting Card,4.95
ORDER00277,CUST0034,2025-03-31,Flyer,10.94
ORDER00505,CUST0040,2025-03-31,Greeting Card,5.79
ORDER00548,CUST0188,2025-03-31,Canvas Print,33.74
ORDER00955,CUST0263,2025-03-31,Photo Book,26.32
